reporter,partner,year,classification,commodity_code,commodity,trade_flow_code,trade_flow,qty,qty_unit,trade_value_us
Belize,Guatemala,2018,H5,3915,"Waste, parings and scrap, of plastics",2,Export,72711,Weight in kilograms,38955
Belize,"Other Asia, nes",2018,H5,3915,"Waste, parings and scrap, of plastics",2,Export,53600,Weight in kilograms,2219
Belize,USA,2018,H5,3915,"Waste, parings and scrap, of plastics",1,Import,156258,Weight in kilograms,59369
Belize,USA,2018,H5,3915,"Waste, parings and scrap, of plastics",2,Export,328857,Weight in kilograms,45507
Belarus,World,2018,H5,3915,"Waste, parings and scrap, of plastics",1,Import,4895706,Weight in kilograms,2915800
Belarus,World,2018,H5,3915,"Waste, parings and scrap, of plastics",2,Export,9650629,Weight in kilograms,4134100
Belarus,Belgium,2018,H5,3915,"Waste, parings and scrap, of plastics",2,Export,18020,Weight in kilograms,16200
Belarus,Czechia,2018,H5,3915,"Waste, parings and scrap, of plastics",2,Export,53992,Weight in kilograms,40100
Belarus,Finland,2018,H5,3915,"Waste, parings and scrap, of plastics",1,Import,11269,Weight in kilograms,3200
Belarus,Germany,2018,H5,3915,"Waste, parings and scrap, of plastics",1,Import,223125,Weight in kilograms,89900
Belarus,Germany,2018,H5,3915,"Waste, parings and scrap, of plastics",2,Export,23519,Weight in kilograms,9400
Belarus,Israel,2018,H5,3915,"Waste, parings and scrap, of plastics",1,Import,40000,Weight in kilograms,16100
Belarus,Latvia,2018,H5,3915,"Waste, parings and scrap, of plastics",1,Import,288958,Weight in kilograms,33700
Belarus,Latvia,2018,H5,3915,"Waste, parings and scrap, of plastics",2,Export,41785,Weight in kilograms,6400
Belarus,Lithuania,2018,H5,3915,"Waste, parings and scrap, of plastics",1,Import,170171,Weight in kilograms,81500
Belarus,Lithuania,2018,H5,3915,"Waste, parings and scrap, of plastics",2,Export,343688,Weight in kilograms,147400
Belarus,Poland,2018,H5,3915,"Waste, parings and scrap, of plastics",1,Import,159674,Weight in kilograms,50900
Belarus,Poland,2018,H5,3915,"Waste, parings and scrap, of plastics",2,Export,31180,Weight in kilograms,14300
Belarus,Russian Federation,2018,H5,3915,"Waste, parings and scrap, of plastics",1,Import,3798249,Weight in kilograms,2578300
Belarus,Russian Federation,2018,H5,3915,"Waste, parings and scrap, of plastics",2,Export,8019555,Weight in kilograms,3450500
Belarus,Ukraine,2018,H5,3915,"Waste, parings and scrap, of plastics",1,Import,140780,Weight in kilograms,45000
Belarus,Ukraine,2018,H5,3915,"Waste, parings and scrap, of plastics",2,Export,1061520,Weight in kilograms,438000
Belarus,United Kingdom,2018,H5,3915,"Waste, parings and scrap, of plastics",1,Import,63480,Weight in kilograms,17200
Belarus,Uzbekistan,2018,H5,3915,"Waste, parings and scrap, of plastics",2,Export,57370,Weight in kilograms,11800
Belgium,World,2019,H5,3915,"Waste, parings and scrap, of plastics",1,Import,230693630,Weight in kilograms,94217433
Belgium,World,2019,H5,3915,"Waste, parings and scrap, of plastics",2,Export,478868908,Weight in kilograms,151531467
Belgium,Australia,2019,H5,3915,"Waste, parings and scrap, of plastics",1,Import,1215350,Weight in kilograms,488078
Belgium,Australia,2019,H5,3915,"Waste, parings and scrap, of plastics",2,Export,1775820,Weight in kilograms,675102
Belgium,Austria,2019,H5,3915,"Waste, parings and scrap, of plastics",1,Import,1097510,Weight in kilograms,683174
Belgium,Austria,2019,H5,3915,"Waste, parings and scrap, of plastics",2,Export,1225840,Weight in kilograms,609648
Belgium,Bangladesh,2019,H5,3915,"Waste, parings and scrap, of plastics",2,Export,896020,Weight in kilograms,294255
Belgium,Armenia,2019,H5,3915,"Waste, parings and scrap, of plastics",2,Export,11360,Weight in kilograms,6983
Belgium,Bolivia (Plurinational State of),2019,H5,3915,"Waste, parings and scrap, of plastics",2,Export,47880,Weight in kilograms,20756
Belgium,Bosnia Herzegovina,2019,H5,3915,"Waste, parings and scrap, of plastics",1,Import,119996,Weight in kilograms,52462
Belgium,Brazil,2019,H5,3915,"Waste, parings and scrap, of plastics",2,Export,27960,Weight in kilograms,10860
Belgium,Bulgaria,2019,H5,3915,"Waste, parings and scrap, of plastics",1,Import,52126,Weight in kilograms,13573
Belgium,Bulgaria,2019,H5,3915,"Waste, parings and scrap, of plastics",2,Export,655904,Weight in kilograms,133386
Belgium,Cameroon,2019,H5,3915,"Waste, parings and scrap, of plastics",1,Import,826210,Weight in kilograms,222328
Belgium,Cameroon,2019,H5,3915,"Waste, parings and scrap, of plastics",2,Export,47810,Weight in kilograms,15842
Belgium,Canada,2019,H5,3915,"Waste, parings and scrap, of plastics",1,Import,417780,Weight in kilograms,116306
Belgium,Canada,2019,H5,3915,"Waste, parings and scrap, of plastics",2,Export,3720138,Weight in kilograms,3019714
Belgium,China,2019,H5,3915,"Waste, parings and scrap, of plastics",1,Import,858073,Weight in kilograms,2424736
Belgium,China,2019,H5,3915,"Waste, parings and scrap, of plastics",2,Export,2669711,Weight in kilograms,1002057
Belgium,Colombia,2019,H5,3915,"Waste, parings and scrap, of plastics",1,Import,353721,Weight in kilograms,303866
Belgium,Croatia,2019,H5,3915,"Waste, parings and scrap, of plastics",1,Import,25638,Weight in kilograms,7269
Belgium,Croatia,2019,H5,3915,"Waste, parings and scrap, of plastics",2,Export,59901,Weight in kilograms,53630
Belgium,Cyprus,2019,H5,3915,"Waste, parings and scrap, of plastics",2,Export,13,Weight in kilograms,9
Belgium,Czechia,2019,H5,3915,"Waste, parings and scrap, of plastics",1,Import,1095361,Weight in kilograms,317606
Belgium,Czechia,2019,H5,3915,"Waste, parings and scrap, of plastics",2,Export,938777,Weight in kilograms,360088
Belgium,Denmark,2019,H5,3915,"Waste, parings and scrap, of plastics",1,Import,243192,Weight in kilograms,127748
Belgium,Denmark,2019,H5,3915,"Waste, parings and scrap, of plastics",2,Export,1145435,Weight in kilograms,643027
Belgium,Ethiopia,2019,H5,3915,"Waste, parings and scrap, of plastics",2,Export,57,Weight in kilograms,1075
Belgium,Estonia,2019,H5,3915,"Waste, parings and scrap, of plastics",1,Import,10904,Weight in kilograms,33516
Belgium,Estonia,2019,H5,3915,"Waste, parings and scrap, of plastics",2,Export,6197,Weight in kilograms,6205
Belgium,Finland,2019,H5,3915,"Waste, parings and scrap, of plastics",1,Import,310377,Weight in kilograms,50446
Belgium,Finland,2019,H5,3915,"Waste, parings and scrap, of plastics",2,Export,161866,Weight in kilograms,90995
Belgium,France,2019,H5,3915,"Waste, parings and scrap, of plastics",1,Import,74908051,Weight in kilograms,28689239
Belgium,France,2019,H5,3915,"Waste, parings and scrap, of plastics",2,Export,42619802,Weight in kilograms,17818075
Belgium,State of Palestine,2019,H5,3915,"Waste, parings and scrap, of plastics",2,Export,19651,Weight in kilograms,15566
Belgium,Germany,2019,H5,3915,"Waste, parings and scrap, of plastics",1,Import,45231233,Weight in kilograms,18602071
Belgium,Germany,2019,H5,3915,"Waste, parings and scrap, of plastics",2,Export,28051449,Weight in kilograms,10571187
Belgium,Greece,2019,H5,3915,"Waste, parings and scrap, of plastics",1,Import,116811,Weight in kilograms,43428
Belgium,Greece,2019,H5,3915,"Waste, parings and scrap, of plastics",2,Export,23,Weight in kilograms,162
Belgium,"China, Hong Kong SAR",2019,H5,3915,"Waste, parings and scrap, of plastics",1,Import,37025,Weight in kilograms,8550
Belgium,"China, Hong Kong SAR",2019,H5,3915,"Waste, parings and scrap, of plastics",2,Export,39360658,Weight in kilograms,10114470
Belgium,Hungary,2019,H5,3915,"Waste, parings and scrap, of plastics",1,Import,569491,Weight in kilograms,333653
Belgium,Hungary,2019,H5,3915,"Waste, parings and scrap, of plastics",2,Export,99540,Weight in kilograms,32527
Belgium,Indonesia,2019,H5,3915,"Waste, parings and scrap, of plastics",1,Import,1803500,Weight in kilograms,1608653
Belgium,Indonesia,2019,H5,3915,"Waste, parings and scrap, of plastics",2,Export,14817020,Weight in kilograms,3120015
Belgium,Ireland,2019,H5,3915,"Waste, parings and scrap, of plastics",1,Import,600082,Weight in kilograms,275709
Belgium,Ireland,2019,H5,3915,"Waste, parings and scrap, of plastics",2,Export,1307465,Weight in kilograms,1151402
Belgium,Israel,2019,H5,3915,"Waste, parings and scrap, of plastics",1,Import,290518,Weight in kilograms,188499
Belgium,Israel,2019,H5,3915,"Waste, parings and scrap, of plastics",2,Export,82260,Weight in kilograms,26735
Belgium,Italy,2019,H5,3915,"Waste, parings and scrap, of plastics",1,Import,856958,Weight in kilograms,934605
Belgium,Italy,2019,H5,3915,"Waste, parings and scrap, of plastics",2,Export,7903628,Weight in kilograms,5408684
Belgium,Côte d'Ivoire,2019,H5,3915,"Waste, parings and scrap, of plastics",2,Export,73897,Weight in kilograms,26171
Belgium,Japan,2019,H5,3915,"Waste, parings and scrap, of plastics",1,Import,284659,Weight in kilograms,255256
Belgium,Kazakhstan,2019,H5,3915,"Waste, parings and scrap, of plastics",1,Import,19598,Weight in kilograms,9553
Belgium,Kenya,2019,H5,3915,"Waste, parings and scrap, of plastics",2,Export,119480,Weight in kilograms,21738
Belgium,Rep. of Korea,2019,H5,3915,"Waste, parings and scrap, of plastics",2,Export,6107968,Weight in kilograms,2210722
Belgium,Lao People's Dem. Rep.,2019,H5,3915,"Waste, parings and scrap, of plastics",2,Export,813720,Weight in kilograms,102488
Belgium,Lebanon,2019,H5,3915,"Waste, parings and scrap, of plastics",2,Export,227400,Weight in kilograms,37273
Belgium,Latvia,2019,H5,3915,"Waste, parings and scrap, of plastics",1,Import,24833,Weight in kilograms,19479
Belgium,Latvia,2019,H5,3915,"Waste, parings and scrap, of plastics",2,Export,260273,Weight in kilograms,109100
Belgium,Lithuania,2019,H5,3915,"Waste, parings and scrap, of plastics",1,Import,1637607,Weight in kilograms,1219042
Belgium,Lithuania,2019,H5,3915,"Waste, parings and scrap, of plastics",2,Export,2112678,Weight in kilograms,349559
Belgium,Luxembourg,2019,H5,3915,"Waste, parings and scrap, of plastics",1,Import,1995098,Weight in kilograms,581735
Belgium,Luxembourg,2019,H5,3915,"Waste, parings and scrap, of plastics",2,Export,6279273,Weight in kilograms,3989160
Belgium,Malaysia,2019,H5,3915,"Waste, parings and scrap, of plastics",2,Export,62533054,Weight in kilograms,13146742
Belgium,Malta,2019,H5,3915,"Waste, parings and scrap, of plastics",2,Export,2,Weight in kilograms,1
Belgium,Mexico,2019,H5,3915,"Waste, parings and scrap, of plastics",1,Import,834441,Weight in kilograms,158973
